country,energy,year,production
Afghanistan,Nuclear (quad Btu),2020,0
Albania,Nuclear (quad Btu),2020,0
Algeria,Nuclear (quad Btu),2020,0
American Samoa,Nuclear (quad Btu),2020,0
Angola,Nuclear (quad Btu),2020,0
Antarctica,Nuclear (quad Btu),2020,0
Antigua and Barbuda,Nuclear (quad Btu),2020,0
Aruba,Nuclear (quad Btu),2020,0
Australia,Nuclear (quad Btu),2020,0
Austria,Nuclear (quad Btu),2020,0
Azerbaijan,Nuclear (quad Btu),2020,0
Bahrain,Nuclear (quad Btu),2020,0
Bangladesh,Nuclear (quad Btu),2020,0
Barbados,Nuclear (quad Btu),2020,0
Belize,Nuclear (quad Btu),2020,0
Benin,Nuclear (quad Btu),2020,0
Bermuda,Nuclear (quad Btu),2020,0
Bhutan,Nuclear (quad Btu),2020,0
Bolivia,Nuclear (quad Btu),2020,0
Bosnia and Herzegovina,Nuclear (quad Btu),2020,0
Botswana,Nuclear (quad Btu),2020,0
British Virgin Islands,Nuclear (quad Btu),2020,0
Brunei,Nuclear (quad Btu),2020,0
Burkina Faso,Nuclear (quad Btu),2020,0
Burma,Nuclear (quad Btu),2020,0
Burundi,Nuclear (quad Btu),2020,0
Cabo Verde,Nuclear (quad Btu),2020,0
Cambodia,Nuclear (quad Btu),2020,0
Cameroon,Nuclear (quad Btu),2020,0
Cayman Islands,Nuclear (quad Btu),2020,0
Central African Republic,Nuclear (quad Btu),2020,0
Chad,Nuclear (quad Btu),2020,0
Chile,Nuclear (quad Btu),2020,0
Colombia,Nuclear (quad Btu),2020,0
Comoros,Nuclear (quad Btu),2020,0
Congo-Brazzaville,Nuclear (quad Btu),2020,0
Congo-Kinshasa,Nuclear (quad Btu),2020,0
Cook Islands,Nuclear (quad Btu),2020,0
Costa Rica,Nuclear (quad Btu),2020,0
Cote d'Ivoire,Nuclear (quad Btu),2020,0
Croatia,Nuclear (quad Btu),2020,0
Cuba,Nuclear (quad Btu),2020,0
Cyprus,Nuclear (quad Btu),2020,0
Denmark,Nuclear (quad Btu),2020,0
Djibouti,Nuclear (quad Btu),2020,0
Dominica,Nuclear (quad Btu),2020,0
Dominican Republic,Nuclear (quad Btu),2020,0
Ecuador,Nuclear (quad Btu),2020,0
